CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BT,LKN,6,MST,8.5,4,9,0,1,2,100,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,BLR,0
BT,LKN,3,ELW,8.5,4,2,0,0,0,33.33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,14,BLR,0
BW,LKN,8,DCR,8.5,4,11,1,1,2,275,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,13.5,-6,0,0,0,0,0,0,12,BLR,0
BT,BLR,5,RPT,8.5,4,58,4,3,6,138.1,2,42,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,RR,1
BW,BLR,11,JHW,9,4,1,0,0,0,50,0,2,0,0,0,0,4,2,50,0,0,2,0,0,0,5.75,4,0,0,0,0,0,0,59,RR,1
AR,BLR,3,GMW,9.5,4,24,1,2,4,184.62,6,13,0,0,0,0,3,0,0,0,0,0,0,0,0,5.67,4,0,0,0,0,0,0,43,RR,1
BT,BLR,2,FDP,9,4,25,3,0,0,92.59,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,RR,1
BW,BLR,8,WHG,9.5,4,0,0,0,0,0,0,1,0,0,0,0,4,1,25,0,0,1,0,0,0,6.5,2,0,0,0,0,0,0,31,RR,1
WK,BLR,4,DKR,8.5,4,6,0,0,0,85.71,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,12,30,RR,0
BT,BLR,1,VKL,9,4,7,0,1,2,87.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,21,RR,0
AR,BLR,7,SAD,8.5,4,12,1,1,2,115,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,17.5,-6,0,0,0,0,0,0,13,RR,0
