CAT,CNT,POS,NAME,CRD,ANNOUNCED2,RUNS2,4S2,6S1,6S2,S/R1,S/R2,BALLS FACED1,30/50/100_1,30/50/100_2,DUCK1,DUCK2,OVERS BOWLED1,WICK1,WICK2,LBW/BOW BONUS1,LBW/BOW BONUS2,2/3/4/5 WICK BONUS1,2/3/4/5 WICK BONUS2,MAIDEN OVER1,MAIDEN OVER2,E/R1,E/R2,CATCH1,CATCH2,CATCH BONUS1,CATCH BONUS2,RUNOUT/STUMPING1,RUNOUT/STUMPING2,TOTAL,OPPOSITE TEAM,DT
BW,PBKS,8,ASH,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,7.75,0,0,0,0,0,0,0,29,BLR,0
BW,PBKS,10,SSM,8.5,4,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,4,BLR,0
AR,PBKS,5,RBW,8,4,0,0,0,0,0,0,1,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,BLR,0
BW,PBKS,9,HBR,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12.67,-6,0,0,0,0,0,0,-2,BLR,0
BW,GT,10,MSM,9,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,2,16,3,4,0,0,6.25,2,0,0,0,0,0,0,101,GT,1
AR,GT,6,RTW,9,4,40,5,2,4,166.67,4,24,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,GT,1
AR,GT,4,HPD,10,4,33,5,1,2,117.86,0,28,30+,4,0,0,4,0,0,0,0,0,0,0,0,9.25,0,1,8,0,0,0,0,56,GT,1
WK,GT,2,MWD,8.5,4,30,4,0,0,103.45,0,29,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,50,GT,1
BW,GT,11,VAN,8,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,0,2,0,0,0,11.24,-4,0,0,0,0,0,0,50,GT,1
BT,GT,5,DML,8.5,4,30,1,2,4,142.86,2,21,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,GT,1
BW,GT,8,RKN,9.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,8,1,0,0,0,6.75,2,0,0,0,0,0,0,39,GT,1
BT,GT,7,AMN,8,4,15,3,0,0,214.29,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,GT,0
BT,GT,1,SGL,9,4,0,0,0,0,0,0,3,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,10,GT,0
AR,GT,3,VSK,8.5,4,4,0,0,0,66.67,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,GT,0
BW,GT,9,LFG,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,GT,0
BT,LKN,5,DHD,8.5,4,55,6,2,4,134.15,2,41,50+,8,0,0,3,1,25,1,8,1,0,0,0,10.33,-2,1,8,0,0,0,0,118,LKN,1
AR,LKN,6,ABD,8,4,54,4,3,6,131.71,2,41,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,LKN,1
AR,LKN,7,KPY,8.5,4,21,3,0,0,161.54,4,13,0,0,0,0,4,1,25,0,0,1,0,0,0,4.25,6,0,0,0,0,0,0,63,LKN,1
BW,LKN,8,DCR,8.5,4,1,0,0,0,100,0,1,0,0,0,0,3,2,50,1,8,2,0,0,0,7.33,0,0,0,0,0,0,0,63,LKN,1
BW,LKN,9,AKN,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3.4,1,25,0,0,1,0,0,0,9,0,0,0,0,0,0,0,29,LKN,0
BT,LKN,4,MPY,9,4,6,1,0,0,120,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,19,LKN,0
BT,LKN,3,ELW,9,4,10,2,0,0,111.11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,LKN,0
WK,LKN,2,QDK,9.5,4,7,1,0,0,77.78,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,12,LKN,0
WK,LKN,1,LRL,10.5,4,0,0,0,0,0,0,1,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,10,LKN,0
BW,LKN,10,MKN,8,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,LKN,0
BW,LKN,11,RBS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,4,LKN,0
BW,RR,9,YCL,9,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,1,8,3,4,0,0,5.5,4,0,0,0,0,0,0,95,SRH,1
WK,RR,3,SSS,9.5,4,55,3,5,10,203.7,6,27,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,94,SRH,1
BW,RR,10,TBT,9,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,1,12,5.75,4,0,0,0,0,0,0,78,SRH,1
BW,RR,11,PKS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,0,2,0,1,12,4,6,0,0,0,0,0,0,72,SRH,1
BT,RR,5,SHT,9,4,32,2,3,6,246.15,6,13,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,70,SRH,1
BT,RR,4,DPK,9,4,41,4,2,4,141.38,2,29,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,67,SRH,1
WK,RR,1,JBT,10,4,35,3,3,6,125,0,28,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,SRH,0
BT,RR,2,YJS,8.5,4,20,2,1,2,125,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,SRH,0
AR,RR,6,RPG,8,4,12,2,0,0,133.33,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,1,8,0,0,0,0,26,SRH,0
BW,RR,8,RAS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5.25,4,0,0,0,0,0,0,8,SRH,0
BW,RR,7,NCN,8.5,4,1,0,0,0,50,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,16,-6,0,0,0,0,0,0,-1,SRH,0
AR,SRH,5,AMK,9,4,57,5,2,4,139.02,2,41,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,88,RR,1
BW,SRH,11,UMK,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,9.75,0,0,0,0,0,0,0,62,RR,1
BW,SRH,10,TNJ,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,10.75,-2,0,0,0,0,0,0,60,RR,1
AR,SRH,7,RSP,8.5,4,24,0,2,4,133.33,2,18,0,0,0,0,4,1,25,0,0,1,0,0,0,8.25,0,0,0,0,0,0,0,59,RR,1
AR,SRH,8,WSD,8.5,4,40,5,2,4,285.71,6,14,30+,4,0,0,3,0,0,0,0,0,0,0,0,15.67,-6,0,0,0,0,0,0,57,RR,1
BW,SRH,9,BKR,9,4,3,0,0,0,75,0,4,0,0,0,0,4,1,25,0,0,1,0,0,0,7.25,0,0,0,0,0,0,0,32,RR,0
WK,SRH,4,NPN,9.5,4,0,0,0,0,0,0,9,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,18,RR,0
BT,SRH,6,ASD,8.5,4,4,0,0,0,66.67,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,16,RR,0
AR,SRH,2,ASM,8,4,9,1,0,0,47.37,-6,19,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8,RR,0
BT,SRH,1,KWS,10,4,2,0,0,0,28.57,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,RR,0
BT,SRH,3,RTP,9,4,0,0,0,0,0,0,3,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,RR,0
AR,BLR,8,WHG,9,4,4,1,0,0,133.33,0,3,0,0,0,0,4,4,100,1,8,4,8,0,0,5,4,0,0,0,0,0,0,129,KOL,1
BW,BLR,11,ADP,8,4,0,0,0,0,0,0,0,0,0,0,0,3.5,3,75,1,8,3,4,0,0,11.74,-4,2,16,0,0,0,0,103,KOL,1
BW,BLR,9,HPL,9,4,10,2,0,0,166.67,0,6,0,0,0,0,4,2,50,0,0,2,0,2,24,2.75,6,0,0,0,0,0,0,96,KOL,1
AR,BLR,6,SAD,8.5,4,27,0,3,6,135,2,20,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,1,8,0,0,0,0,47,KOL,1
BW,BLR,4,DWL,8.5,4,18,3,0,0,64.29,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,3.5,6,1,8,0,0,0,0,39,KOL,1
BT,BLR,5,SRF,8,4,28,1,1,2,70,-2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,KOL,0
BW,BLR,10,MSJ,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,6.25,2,0,0,0,0,0,0,31,KOL,0
WK,BLR,7,DKR,8.5,4,14,1,1,2,200,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,29,KOL,0
BT,BLR,1,FDP,10,4,5,1,0,0,125,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,26,KOL,0
BT,BLR,3,VKL,10.5,4,12,2,0,0,171.43,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,26,KOL,0
WK,BLR,2,ART,8,4,0,0,0,0,0,0,2,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,KOL,0
BW,KOL,9,TST,8.5,4,1,0,0,0,20,0,5,0,0,0,0,4,3,75,0,0,3,4,0,0,5,4,0,0,0,0,0,0,88,BLR,1
BW,KOL,10,UDY,8.5,4,18,2,1,2,150,0,12,0,0,0,0,4,2,50,0,0,2,0,0,0,4,6,0,0,0,0,0,0,82,BLR,1
AR,KOL,5,SNN,9.5,4,12,1,1,2,150,0,8,0,0,0,0,4,1,25,0,0,1,0,0,0,3,6,0,0,0,0,0,0,50,BLR,1
WK,KOL,7,SJK,8,4,0,0,0,0,0,0,1,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,3,24,0,4,1,12,42,BLR,1
BW,KOL,11,VCV,8.5,4,10,2,0,0,62.5,0,16,0,0,0,0,4,1,25,0,0,1,0,0,0,8.25,0,0,0,0,0,0,0,41,BLR,1
AR,KOL,8,ARL,10,4,25,1,3,6,138.89,2,18,0,0,0,0,2.2,0,0,0,0,0,0,0,0,15.43,-6,1,8,0,0,0,0,40,BLR,1
BT,KOL,4,NRN,9,4,10,1,1,2,200,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,25,BLR,0
BT,KOL,1,ARH,8.5,4,9,1,0,0,90,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,22,BLR,0
BT,KOL,3,SIY,9.5,4,13,2,0,0,130,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,BLR,0
WK,KOL,6,SBL,8.5,4,14,0,1,2,93.33,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,BLR,0
AR,KOL,2,VIY,9,4,10,1,0,0,71.43,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,15,BLR,0
BT,CSK,1,RUT,8.5,4,50,8,1,2,185.19,6,27,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,LKN,1
AR,CSK,4,SDB,8.5,4,49,5,2,4,163.33,4,30,30+,4,0,0,1,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,70,LKN,1
AR,CSK,3,MAL,10,4,35,4,2,4,159.09,4,22,30+,4,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,55,LKN,1
AR,CSK,8,DPT,8,4,0,0,0,0,0,0,1,0,0,1,-2,4,2,50,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,52,LKN,1
BT,CSK,5,ARD,9,4,27,2,2,4,135,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,47,LKN,1
BW,CSK,9,DBV,8.5,4,1,0,0,0,100,0,1,0,0,0,0,4,1,25,0,0,1,0,0,0,8.75,0,1,8,0,0,0,0,38,LKN,0
WK,CSK,7,MSD,8.5,4,16,2,1,2,266.67,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,32,LKN,0
AR,CSK,6,RJD,9.5,4,17,3,0,0,188.89,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,10.5,-2,1,8,0,0,0,0,30,LKN,0
BW,CSK,11,TDP,8,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,10,-2,0,0,0,0,0,0,27,LKN,0
BT,CSK,2,RGD,9.5,4,1,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,LKN,0
BW,CSK,10,MCD,8,4,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,11.14,-4,0,0,0,0,0,0,0,LKN,0
BT,LKN,4,ELW,9,4,55,6,3,6,239.13,6,23,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,93,CSK,1
WK,LKN,2,QDK,9.5,4,61,9,0,0,135.56,2,45,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,CSK,1
BW,LKN,10,RBS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,2,16,2,0,0,0,6,2,0,0,0,0,1,12,84,CSK,1
BW,LKN,9,AKN,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,9.5,0,0,0,0,0,0,0,62,CSK,1
WK,LKN,1,LRL,10.5,4,40,2,3,6,153.85,4,26,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,CSK,1
BW,LKN,8,ATY,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,10,-2,0,0,0,0,0,0,60,CSK,1
AR,LKN,6,ABD,8,4,19,0,2,4,211.11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,CSK,0
BT,LKN,5,DHD,8.5,4,13,1,1,2,162.5,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,20,CSK,0
BT,LKN,3,MPY,9,4,5,0,0,0,83.33,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,17,CSK,0
AR,LKN,7,KPY,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,-4,0,0,0,0,0,0,0,CSK,0
BW,LKN,11,DCR,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12.25,-6,0,0,0,0,0,0,-2,CSK,0
BW,KOL,9,UDY,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,4,100,2,16,4,8,1,12,5.75,4,0,0,0,0,0,0,144,PBKS,1
AR,KOL,6,ARL,10,4,70,2,8,16,225.81,6,31,50+,8,0,0,0.2,1,25,0,0,1,0,0,0,0,0,0,0,0,0,1,6,137,PBKS,1
BW,KOL,10,TST,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,0,0,2,0,0,0,9,0,3,24,1,4,0,0,82,PBKS,1
BT,KOL,3,SIY,9.5,4,26,5,0,0,173.33,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,PBKS,1
AR,KOL,7,SNN,9.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,1,8,1,0,0,0,5.75,4,0,0,0,0,0,0,41,PBKS,1
WK,KOL,4,SBL,8.5,4,24,1,1,2,104.35,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,39,PBKS,1
BT,KOL,5,NRN,9,4,0,0,0,0,0,0,2,0,0,1,-2,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,1,6,24,PBKS,0
BW,KOL,8,SMV,8.5,4,0,0,0,0,0,0,0,0,0,0,0,2,1,25,0,0,1,0,0,0,19.5,-6,0,0,0,0,0,0,23,PBKS,0
BT,KOL,1,ARH,8.5,4,12,3,0,0,109.09,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,PBKS,0
BW,KOL,11,VCV,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3.5,6,0,0,0,0,0,0,10,PBKS,0
AR,KOL,2,VIY,9,4,3,0,0,0,42.86,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,PBKS,0
BW,PBKS,9,RCR,8.5,4,0,0,0,0,0,0,2,0,0,1,0,4,2,50,1,8,2,0,1,12,3.25,6,0,0,0,0,0,0,80,KOL,1
BW,PBKS,10,KRD,9,4,25,4,1,2,156.25,0,16,0,0,0,0,3,1,25,0,0,1,0,0,0,7.67,0,1,8,0,0,0,0,68,KOL,1
BT,PBKS,3,BRP,8,4,31,3,3,6,344.44,0,0,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,KOL,1
BW,PBKS,8,OSM,8.5,4,9,0,1,2,75,0,12,0,0,0,0,2,1,25,0,0,1,0,0,0,19.15,-6,1,8,0,0,0,0,42,KOL,1
BW,PBKS,7,HBR,8.5,4,14,1,1,2,77.78,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,10,-2,1,8,0,0,0,0,27,KOL,1
AR,PBKS,4,LLS,9,4,19,1,1,2,118.75,0,16,0,0,0,0,0.3,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,KOL,0
BT,PBKS,2,SDW,10.5,4,16,1,1,2,106.67,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,KOL,0
AR,PBKS,5,RBW,8,4,11,1,0,0,84.62,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,KOL,0
BT,PBKS,1,MAG,9.5,4,1,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,KOL,0
BT,PBKS,6,SKN,8.5,4,0,0,0,0,0,0,5,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,KOL,0
BW,PBKS,11,ASH,8.5,4,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,10.67,-2,0,0,0,0,0,0,2,KOL,0
AR,GT,4,HPD,10,4,87,8,4,8,167.31,4,52,50+,8,0,0,2.3,1,25,0,0,1,0,0,0,7.2,0,1,8,0,0,1,12,164,RR,1
BW,GT,10,LFG,9,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,1,8,3,4,0,0,5.75,4,0,0,0,0,0,0,95,RR,1
BW,GT,11,YDL,8,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,0,0,3,4,0,0,10,-2,0,0,0,0,0,0,81,RR,1
BT,GT,5,AMN,8,4,43,4,2,4,153.57,4,28,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,RR,1
BT,GT,6,DML,8.5,4,31,5,1,2,221.43,6,14,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,60,RR,1
BT,GT,2,SGL,9.5,4,13,2,0,0,92.86,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,35,RR,1
BW,GT,9,MSM,9.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,9.75,0,0,0,0,0,0,0,29,RR,1
WK,GT,1,MWD,8.5,4,12,3,0,0,200,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,27,RR,0
AR,GT,3,VSK,8,4,2,0,0,0,28.57,0,7,0,0,0,0,0.3,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,14,RR,0
AR,GT,7,RTW,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,8,0,0,0,0,12,RR,0
BW,GT,8,RKN,9.5,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,6,RR,0
WK,RR,1,JBT,10.5,4,54,8,3,6,225,6,24,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,GT,1
BT,RR,6,SHT,9,4,29,2,1,2,170.59,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,51,GT,1
AR,RR,7,RPG,8,4,18,1,1,2,112.5,0,16,0,0,0,0,1,1,25,0,0,1,0,0,0,12,0,0,0,0,0,0,0,50,GT,1
BW,RR,10,YCL,9.5,4,5,0,0,0,62.5,0,8,0,0,0,0,4,1,25,0,0,1,0,0,0,8,0,0,0,0,0,0,0,34,GT,1
WK,RR,4,SSS,9,4,11,0,1,2,100,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,25,GT,0
BW,RR,11,KSN,8,4,0,0,0,0,0,0,3,0,0,0,0,4,1,25,0,0,1,0,0,0,12.75,-6,0,0,0,0,0,0,23,GT,0
BW,RR,3,RAS,8.5,4,8,0,1,2,100,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,8.25,0,1,8,0,0,0,0,22,GT,0
AR,RR,8,JNS,8.5,4,17,1,0,0,113.33,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,22,GT,0
BT,RR,5,RVD,8.5,4,6,0,0,0,60,-2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,20,GT,0
BW,RR,9,PKS,8.5,4,4,0,0,0,57.14,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,8,GT,0
BT,RR,2,DPK,8.5,4,0,0,0,0,0,0,1,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,GT,0
AR,KOL,7,ARL,10,4,49,4,4,8,196,6,25,30+,4,0,0,2,2,50,1,8,2,0,0,0,10,-2,0,0,0,0,0,0,131,SRH,1
BT,KOL,5,NRN,8.5,4,54,6,2,4,150,2,36,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,SRH,1
AR,KOL,8,PCM,9.5,4,3,0,0,0,100,0,3,0,0,0,0,3.5,1,25,1,8,1,0,0,0,10.43,-2,0,0,0,0,0,0,38,SRH,1
BT,KOL,3,SIY,9,4,28,3,0,0,112,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,SRH,1
BW,KOL,4,SNN,9,4,6,0,1,2,300,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,5.75,4,0,0,0,0,0,0,16,SRH,0
AR,KOL,1,VIY,9,4,6,1,0,0,46.15,-6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,13,SRH,0
BT,KOL,2,AFC,8.5,4,7,0,1,2,140,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,SRH,0
WK,KOL,6,SJK,8,4,7,0,1,2,100,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,SRH,0
BW,KOL,9,AKN,7.5,4,5,1,0,0,166.67,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,SRH,0
BW,KOL,10,UDY,9,4,1,0,0,0,100,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,5,SRH,0
BW,KOL,11,VCV,8.5,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,-6,0,0,0,0,0,0,-2,SRH,0
BT,SRH,3,RTP,9,4,71,4,6,12,191.89,6,37,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,KOL,1
BT,SRH,4,AMK,8.5,4,68,6,4,8,188.89,6,36,50+,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,KOL,1
BW,SRH,10,TNJ,9,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,1,8,3,4,0,0,9.25,0,1,8,0,0,0,0,99,KOL,1
BW,SRH,11,UMK,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,2,50,1,8,2,0,0,0,6.75,2,0,0,0,0,0,0,64,KOL,1
BW,SRH,7,MJS,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,6.5,2,1,8,0,0,0,0,39,KOL,1
BW,SRH,8,JST,8,4,0,0,0,0,0,0,0,0,0,0,0,3,1,25,1,8,1,0,0,0,10.67,-2,0,0,0,0,0,0,35,KOL,1
BW,SRH,9,BKR,8.5,4,0,0,0,0,0,0,0,0,0,0,0,4,1,25,0,0,1,0,0,0,9.25,0,0,0,0,0,0,0,29,KOL,0
WK,SRH,5,NPN,9.5,4,5,0,0,0,62.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,25,KOL,1
BT,SRH,2,KWS,10,4,17,3,0,0,106.25,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,KOL,0
AR,SRH,6,SSH,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,8,0,0,0,0,12,KOL,0
AR,SRH,1,ASM,8.5,4,3,0,0,0,30,-6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,KOL,0
WK,LKN,1,LRL,10,4,103,9,5,10,171.67,6,60,100+,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,MI,1
BW,LKN,10,AKN,9,4,0,0,0,0,0,0,0,0,0,0,0,4,3,75,0,0,3,4,0,0,7.5,0,0,0,0,0,0,0,83,MI,1
BT,LKN,4,MST,9,4,10,0,1,2,111.11,0,9,0,0,0,0,2,1,25,1,8,1,0,0,0,6.5,2,1,8,0,0,1,6,65,MI,1
WK,LKN,2,QDK,10,4,24,4,1,2,184.62,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,12,60,MI,1
BT,LKN,3,MPY,8.5,4,38,6,0,0,131.03,2,29,30+,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,MI,1
